equal	bektok	glauxwordid	chapsect	sentid	kastok	kaswordid	bekkpage	bekkline	textstatus
y	ἕτερα	104285685	1.3	244701	ἕτερα	99	1447a	15	
n	,	104285686	1.3	244701	KASNA				
y	ἢ	104285687	1.3	244701	ἢ	100	1447a	15	
y	τῷ	104285688	1.3	244701	τῷ	101	1447a	15	
y	ἑτέρως	104285689	1.3	244701	ἑτέρως	102	1447a	15	
y	καὶ	104285690	1.3	244701	καὶ	103	1447a	15	
y	μὴ	104285691	1.3	244701	μὴ	104	1447a	15	
y	τὸν	104285692	1.3	244701	τὸν	105	1447a	15	
y	αὐτὸν	104285693	1.3	244701	αὐτὸν	106	1447a	15	
y	τρόπον	104285694	1.3	244701	τρόπον	107	1447a	15	
y	.	104285695	1.3	244701	.	108	1447a	15	
y	ὥσπερ	104285696	1.4	244702	ὥσπερ	109	1447a	15	
y	γὰρ	104285697	1.4	244702	γὰρ	110	1447a	15	
y	καὶ	104285698	1.4	244702	καὶ	111	1447a	15	
y	χρώμασι	104285699	1.4	244702	χρώμασι	112	1447a	15	
y	καὶ	104285700	1.4	244702	καὶ	113	1447a	15	
y	σχήμασι	104285701	1.4	244702	σχήμασι	114	1447a	15	
y	πολλὰ	104285702	1.4	244702	πολλὰ	115	1447a	15	
y	μιμοῦνταί	104285703	1.4	244702	μιμοῦνταί	116	1447a	15	
y	τινες	104285704	1.4	244702	τινες	117	1447a	15	
y	ἀπεικάζοντες	104285705	1.4	244702	ἀπεικάζοντες	118	1447a	15	
n	,	104285706	1.4	244702	(	119	1447a	15	
y	οἱ	104285707	1.4	244702	οἱ	120	1447a	15	
y	μὲν	104285708	1.4	244702	μὲν	121	1447a	15	
y	διὰ	104285709	1.4	244702	διὰ	122	1447a	20	
y	τέχνης	104285710	1.4	244702	τέχνης	123	1447a	20	
y	οἱ	104285711	1.4	244702	οἱ	124	1447a	20	
y	δὲ	104285712	1.4	244702	δὲ	125	1447a	20	
y	διὰ	104285713	1.4	244702	διὰ	126	1447a	20	
y	συνηθείας	104285714	1.4	244702	συνηθείας	127	1447a	20	
n	BEKNA				)	128	1447a	20	
y	,	104285715	1.4	244702	,	129	1447a	20	
y	ἕτεροι	104285716	1.4	244702	ἕτεροι	130	1447a	20	
y	δὲ	104285717	1.4	244702	δὲ	131	1447a	20	
y	διὰ	104285718	1.4	244702	διὰ	132	1447a	20	
y	τῆς	104285719	1.4	244702	τῆς	133	1447a	20	
y	φωνῆς	104285720	1.4	244702	φωνῆς	134	1447a	20	
y	,	104285721	1.4	244702	,	135	1447a	20	
y	οὕτω	104285722	1.4	244702	οὕτω	136	1447a	20	
n	κα-	104285723	1.4	244702	KASNA				
y	κἀν	104285724	1.4	244702	κἀν	137	1447a	20	
y	ταῖς	104285725	1.4	244702	ταῖς	138	1447a	20	
y	εἰρημέναις	104285726	1.4	244702	εἰρημέναις	139	1447a	20	
y	τέχναις	104285727	1.4	244702	τέχναις	140	1447a	20	
n	,	104285728	1.4	244702	KASNA				
y	ἅπασαι	104285729	1.4	244702	ἅπασαι	141	1447a	20	
y	μὲν	104285730	1.4	244702	μὲν	142	1447a	20	
y	ποιοῦνται	104285731	1.4	244702	ποιοῦνται	143	1447a	20	
y	τὴν	104285732	1.4	244702	τὴν	144	1447a	20	
y	μίμησιν	104285733	1.4	244702	μίμησιν	145	1447a	20	
y	ἐν	104285734	1.4	244702	ἐν	146	1447a	20	
y	ῥυθμῷ	104285735	1.4	244702	ῥυθμῷ	147	1447a	20	
y	καὶ	104285736	1.4	244702	καὶ	148	1447a	20	
y	λόγῳ	104285737	1.4	244702	λόγῳ	149	1447a	20	
y	καὶ	104285738	1.4	244702	καὶ	150	1447a	20	
y	ἁρμονίᾳ	104285739	1.4	244702	ἁρμονίᾳ	151	1447a	20	
y	,	104285740	1.4	244702	,	152	1447a	20	
y	τούτοις	104285741	1.4	244702	τούτοις	153	1447a	20	
y	δ’	104285742	1.4	244702	δ’	154	1447a	20	
y	ἢ	104285743	1.4	244702	ἢ	155	1447a	20	
y	χωρὶς	104285744	1.4	244702	χωρὶς	156	1447a	20	
y	ἢ	104285745	1.4	244702	ἢ	157	1447a	20	
y	μεμιγμένοις	104285746	1.4	244702	μεμιγμένοις	158	1447a	20	
n	,	104285747	1.4	244702	·	159	1447a	20	
y	οἷον	104285748	1.5	244702	οἷον	160	1447a	20	
y	ἁρμονίᾳ	104285749	1.5	244702	ἁρμονίᾳ	161	1447a	20	
y	μὲν	104285750	1.5	244702	μὲν	162	1447a	20	
y	καὶ	104285751	1.5	244702	καὶ	163	1447a	20	
y	ῥυθμῷ	104285752	1.5	244702	ῥυθμῷ	164	1447a	20	
y	χρώμεναι	104285753	1.5	244702	χρώμεναι	165	1447a	20	
y	μόνον	104285754	1.5	244702	μόνον	166	1447a	20	
y	ἥ	104285755	1.5	244702	ἥ	167	1447a	20	
y	τε	104285756	1.5	244702	τε	168	1447a	20	
y	αὐλητικὴ	104285757	1.5	244702	αὐλητικὴ	169	1447a	20	
y	καὶ	104285758	1.5	244702	καὶ	170	1447a	20	
y	ἡ	104285759	1.5	244702	ἡ	171	1447a	20	
n	κιθαριστική	104285760	1.5	244702	κιθαριστικὴ	172	1447a	20	
n	,	104285761	1.5	244702	KASNA				
n	κα-	104285762	1.5	244702	KASNA				
y	κἂν	104285763	1.5	244702	κἂν	173	1447a	20	
y	εἴ	104285764	1.5	244702	εἴ	174	1447a	20	
y	τινες	104285765	1.5	244702	τινες	175	1447a	20	
y	ἕτεραι	104285766	1.5	244702	ἕτεραι	176	1447a	25	
y	τυγχάνωσιν	104285767	1.5	244702	τυγχάνωσιν	177	1447a	25	
y	οὖσαι	104285768	1.5	244702	οὖσαι	178	1447a	25	
y	τοιαῦται	104285769	1.5	244702	τοιαῦται	179	1447a	25	
y	τὴν	104285770	1.5	244702	τὴν	180	1447a	25	
y	δύναμιν	104285771	1.5	244702	δύναμιν	181	1447a	25	
y	,	104285772	1.5	244702	,	182	1447a	25	
y	οἷον	104285773	1.5	244702	οἷον	183	1447a	25	
y	ἡ	104285774	1.5	244702	ἡ	184	1447a	25	
y	τῶν	104285775	1.5	244702	τῶν	185	1447a	25	
y	συρίγγων	104285776	1.5	244702	συρίγγων	186	1447a	25	
n	.	104285777	1.5	244702	,	187	1447a	25	
y	αὐτῷ	104285778	1.6	244703	αὐτῷ	188	1447a	25	
y	δὲ	104285779	1.6	244703	δὲ	189	1447a	25	
y	τῷ	104285780	1.6	244703	τῷ	190	1447a	25	
y	ῥυθμῷ	104285781	1.6	244703	ῥυθμῷ	191	1447a	25	
y	μιμοῦνται	104285782	1.6	244703	μιμοῦνται	192	1447a	25	deleted
y	χωρὶς	104285783	1.6	244703	χωρὶς	193	1447a	25	
y	ἁρμονίας	104285784	1.6	244703	ἁρμονίας	194	1447a	25	
n	οἱ	104285785	1.6	244703	ἡ	195	1447a	25	
y	τῶν	104285786	1.6	244703	τῶν	196	1447a	25	
y	ὀρχηστῶν	104285787	1.6	244703	ὀρχηστῶν	197	1447a	25	
n	·	104285788	1.6	244703	(	198	1447a	25	
y	καὶ	104285789	1.6	244704	καὶ	199	1447a	25	
y	γὰρ	104285790	1.6	244704	γὰρ	200	1447a	25	
y	οὗτοι	104285791	1.6	244704	οὗτοι	201	1447a	25	
y	διὰ	104285792	1.6	244704	διὰ	202	1447a	25	
y	τῶν	104285793	1.6	244704	τῶν	203	1447a	25	
y	σχηματιζομένων	104285794	1.6	244704	σχηματιζομένων	204	1447a	25	
y	ῥυθμῶν	104285795	1.6	244704	ῥυθμῶν	205	1447a	25	
y	μιμοῦνται	104285796	1.6	244704	μιμοῦνται	206	1447a	25	
y	καὶ	104285797	1.6	244704	καὶ	207	1447a	25	
y	ἤθη	104285798	1.6	244704	ἤθη	208	1447a	25	
y	καὶ	104285799	1.6	244704	καὶ	209	1447a	25	
y	πάθη	104285800	1.6	244704	πάθη	210	1447a	25	
y	καὶ	104285801	1.6	244704	καὶ	211	1447a	25	
y	πράξεις	104285802	1.6	244704	πράξεις	212	1447a	25	
n	.	104285803	1.6	244704	)	213	1447a	25	
n	BEKNA				·	214	1447a	25	
y	ἡ	104285804	1.7	244705	ἡ	215	1447a	25	
y	δὲ	104285805	1.7	244705	δὲ	216	1447a	25	
y	ἐποποιία	104285806	1.7	244705	ἐποποιία	217	1447a	25	deleted
y	μόνον	104285807	1.7	244705	μόνον	218	1447a	25	
y	τοῖς	104285808	1.7	244705	τοῖς	219	1447a	25	
y	λόγοις	104285809	1.7	244705	λόγοις	220	1447a	25	
y	ψιλοῖς	104285810	1.7	244705	ψιλοῖς	221	1447a	25	
n	ἢ	104285811	1.7	244705	καὶ	222	1447a	25	added
n	BEKNA				ἡ	223	1447a	25	
y	τοῖς	104285812	1.7	244705	τοῖς	224	1447a	25	
y	μέτροις	104285813	1.7	244705	μέτροις	225	1447b	1	
n	,	104285814	1.7	244705	KASNA				
y	καὶ	104285815	1.7	244705	καὶ	226	1447b	1	
y	τούτοις	104285816	1.7	244705	τούτοις	227	1447b	1	
n	εἴ	104285817	1.7	244705	εἴτε	228	1447b	1	
n	-τε	104285818	1.7	244705	KASNA				
y	μιγνῦσα	104285819	1.7	244705	μιγνῦσα	229	1447b	1	
y	μετ’	104285820	1.7	244705	μετ’	230	1447b	1	
y	ἀλλήλων	104285821	1.7	244705	ἀλλήλων	231	1447b	1	
n	,	104285822	1.7	244705	εἴθ’	232	1447b	1	
n	εἴ	104285823	1.7	244705	KASNA				
n	-θ’	104285824	1.7	244705	KASNA				
y	ἑνί	104285825	1.7	244705	ἑνί	233	1447b	1	
y	τινι	104285826	1.7	244705	τινι	234	1447b	1	
y	γένει	104285827	1.7	244705	γένει	235	1447b	1	
y	χρωμένη	104285828	1.7	244705	χρωμένη	236	1447b	1	
y	τῶν	104285829	1.7	244705	τῶν	237	1447b	1	
y	μέτρων	104285830	1.7	244705	μέτρων	238	1447b	1	
n	BEKNA	104285831	1.7	244705	ἀνώνυμοι	239	1447b	1	added	
n	τυγχάνουσα				τυγχάνουσι	240	1447b	1	
y	μέχρι	104285832	1.7	244705	μέχρι	241	1447b	1	
y	τοῦ	104285833	1.7	244705	τοῦ	242	1447b	1	
y	νῦν	104285834	1.7	244705	νῦν	243	1447b	1	
n	.	104285835	1.7	244705	·	244	1447b	1	
y	οὐδὲν	104285836	1.8	244706	οὐδὲν	245	1447b	1	
y	γὰρ	104285837	1.8	244706	γὰρ	246	1447b	1	
y	ἂν	104285838	1.8	244706	ἂν	247	1447b	1	
y	ἔχοιμεν	104285839	1.8	244706	ἔχοιμεν	248	1447b	10	
y	ὀνομάσαι	104285840	1.8	244706	ὀνομάσαι	249	1447b	10	
y	κοινὸν	104285841	1.8	244706	κοινὸν	250	1447b	10	
y	τοὺς	104285842	1.8	244706	τοὺς	251	1447b	10	
y	Σώφρονος	104285843	1.8	244706	Σώφρονος	252	1447b	10	
y	καὶ	104285844	1.8	244706	καὶ	253	1447b	10	
y	Ξενάρχου	104285845	1.8	244706	Ξενάρχου	254	1447b	10	
y	μίμους	104285846	1.8	244706	μίμους	255	1447b	10	
y	καὶ	104285847	1.8	244706	καὶ	256	1447b	10	
y	τοὺς	104285848	1.8	244706	τοὺς	257	1447b	10	
y	Σωκρατικοὺς	104285849	1.8	244706	Σωκρατικοὺς	258	1447b	10	
y	λόγους	104285850	1.8	244706	λόγους	259	1447b	10	
n	,	104285851	1.8	244706	οὐδὲ	260	1447b	10	
n	οὐ	104285852	1.9	244706	KASNA				
n	-δὲ	104285853	1.9	244706	KASNA				
y	εἴ	104285854	1.9	244706	εἴ	261	1447b	10	
y	τις	104285855	1.9	244706	τις	262	1447b	10	
y	διὰ	104285856	1.9	244706	διὰ	263	1447b	10	
y	τριμέτρων	104285857	1.9	244706	τριμέτρων	264	1447b	10	
y	ἢ	104285858	1.9	244706	ἢ	265	1447b	10	
y	ἐλεγείων	104285859	1.9	244706	ἐλεγείων	266	1447b	10	
y	ἢ	104285860	1.9	244706	ἢ	267	1447b	10	
y	τῶν	104285861	1.9	244706	τῶν	268	1447b	10	
y	ἄλλων	104285862	1.9	244706	ἄλλων	269	1447b	10	
y	τινῶν	104285863	1.9	244706	τινῶν	270	1447b	10	
y	τῶν	104285864	1.9	244706	τῶν	271	1447b	10	
y	τοιούτων	104285865	1.9	244706	τοιούτων	272	1447b	10	
y	ποιοῖτο	104285866	1.9	244706	ποιοῖτο	273	1447b	10	
y	τὴν	104285867	1.9	244706	τὴν	274	1447b	10	
y	μίμησιν	104285868	1.9	244706	μίμησιν	275	1447b	10	
n	·	104285869	1.9	244706	.	276	1447b	10	
y	πλὴν	104285870	1.10	244707	πλὴν	277	1447b	10	
y	οἱ	104285871	1.10	244707	οἱ	278	1447b	10	
y	ἄνθρωποί	104285872	1.10	244707	ἄνθρωποί	279	1447b	10	
y	γε	104285873	1.10	244707	γε	280	1447b	10	
y	συνάπτοντες	104285874	1.10	244707	συνάπτοντες	281	1447b	10	
y	τῷ	104285875	1.10	244707	τῷ	282	1447b	10	
y	μέτρῳ	104285876	1.10	244707	μέτρῳ	283	1447b	10	
y	τὸ	104285877	1.10	244707	τὸ	284	1447b	10	
y	ποιεῖν	104285878	1.10	244707	ποιεῖν	285	1447b	10	
y	ἐλεγειοποιοὺς	104285879	1.10	244707	ἐλεγειοποιοὺς	286	1447b	10	
y	τοὺς	104285880	1.10	244707	τοὺς	287	1447b	10	
y	δὲ	104285881	1.10	244707	δὲ	288	1447b	10	
y	ἐποποιοὺς	104285882	1.10	244707	ἐποποιοὺς	289	1447b	10	
y	ὀνομάζουσιν	104285883	1.10	244707	ὀνομάζουσιν	290	1447b	10	
y	,	104285884	1.10	244707	,	291	1447b	10	
y	οὐχ	104285885	1.10	244707	οὐχ	292	1447b	10	
y	ὡς	104285886	1.10	244707	ὡς	293	1447b	10	
n	τοὺς	104285887	1.10	244707	KASNA				
y	κατὰ	104285888	1.10	244707	κατὰ	294	1447b	15	
n	BEKNA				τὴν	295	1447b	15	
y	μίμησιν	104285889	1.10	244707	μίμησιν	296	1447b	15	
y	ποιητὰς	104285890	1.10	244707	ποιητὰς	297	1447b	15	
y	ἀλλὰ	104285891	1.10	244707	ἀλλὰ	298	1447b	15	
y	κοινῇ	104285892	1.10	244707	κοινῇ	299	1447b	15	
y	κατὰ	104285893	1.10	244707	κατὰ	300	1447b	15	
y	τὸ	104285894	1.10	244707	τὸ	301	1447b	15	
y	μέτρον	104285895	1.10	244707	μέτρον	302	1447b	15	
y	προσαγορεύοντες	104285896	1.10	244707	προσαγορεύοντες	303	1447b	15	
n	.	104285897	1.10	244707	·	304	1447b	15	
y	καὶ	104285898	1.11	244708	καὶ	305	1447b	15	
y	γὰρ	104285899	1.11	244708	γὰρ	306	1447b	15	
y	ἂν	104285900	1.11	244708	ἂν	307	1447b	15	
y	ἰατρικὸν	104285901	1.11	244708	ἰατρικὸν	308	1447b	15	
y	ἢ	104285902	1.11	244708	ἢ	309	1447b	15	
n	μουσικόν	104285903	1.11	244708	φυσικόν	310	1447b	15	
y	τι	104285904	1.11	244708	τι	311	1447b	15	
y	διὰ	104285905	1.11	244708	διὰ	312	1447b	15	
y	τῶν	104285906	1.11	244708	τῶν	313	1447b	15	
y	μέτρων	104285907	1.11	244708	μέτρων	314	1447b	15	
y	ἐκφέρωσιν	104285908	1.11	244708	ἐκφέρωσιν	315	1447b	15	
y	,	104285909	1.11	244708	,	316	1447b	15	
y	οὕτω	104285910	1.11	244708	οὕτω	317	1447b	15	
y	καλεῖν	104285911	1.11	244708	καλεῖν	318	1447b	15	
y	εἰώθασιν	104285912	1.11	244708	εἰώθασιν	319	1447b	15	
n	.	104285913	1.11	244708	·	320	1447b	15	
y	οὐδὲν	104285914	1.11	244709	οὐδὲν	321	1447b	15	
y	δὲ	104285915	1.11	244709	δὲ	322	1447b	15	
y	κοινόν	104285916	1.11	244709	κοινόν	323	1447b	15	
y	ἐστιν	104285917	1.11	244709	ἐστιν	324	1447b	15	
y	Ὁμήρῳ	104285918	1.11	244709	Ὁμήρῳ	325	1447b	15	
y	καὶ	104285919	1.11	244709	καὶ	326	1447b	15	
y	Ἐμπεδοκλεῖ	104285920	1.11	244709	Ἐμπεδοκλεῖ	327	1447b	15	
y	πλὴν	104285921	1.11	244709	πλὴν	328	1447b	15	
y	τὸ	104285922	1.11	244709	τὸ	329	1447b	15	
y	μέτρον	104285923	1.11	244709	μέτρον	330	1447b	15	
n	·	104285924	1.11	244709	,	331	1447b	15	
y	διὸ	104285925	1.11	244710	διὸ	332	1447b	15	
y	τὸν	104285926	1.11	244710	τὸν	333	1447b	15	
y	μὲν	104285927	1.11	244710	μὲν	334	1447b	15	
y	ποιητὴν	104285928	1.11	244710	ποιητὴν	335	1447b	15	
y	δίκαιον	104285929	1.11	244710	δίκαιον	336	1447b	15	
y	καλεῖν	104285930	1.11	244710	καλεῖν	337	1447b	15	
y	,	104285931	1.11	244710	,	338	1447b	15	
y	τὸν	104285932	1.11	244710	τὸν	339	1447b	15	
y	δὲ	104285933	1.11	244710	δὲ	340	1447b	15	
n	φυσιολόγου	104285934	1.11	244710	φυσιολόγον	341	1447b	15	
y	μᾶλλον	104285935	1.11	244710	μᾶλλον	342	1447b	15	
y	ἢ	104285936	1.11	244710	ἢ	343	1447b	15	
y	ποιητήν	104285937	1.11	244710	ποιητήν	344	1447b	20	
n	.	104285938	1.11	244710	·	345	1447b	20	
y	ὁμοίως	104285939	1.12	244711	ὁμοίως	346	1447b	20	
y	δὲ	104285940	1.12	244711	δὲ	347	1447b	20	
n	κα-	104285941	1.12	244711	KASNA				
y	κἂν	104285942	1.12	244711	κἂν	348	1447b	20	
y	εἴ	104285943	1.12	244711	εἴ	349	1447b	20	
y	τις	104285944	1.12	244711	τις	350	1447b	20	
y	ἅπαντα	104285945	1.12	244711	ἅπαντα	351	1447b	20	
y	τὰ	104285946	1.12	244711	τὰ	352	1447b	20	
y	μέτρα	104285947	1.12	244711	μέτρα	353	1447b	20	
y	μιγνύων	104285948	1.12	244711	μιγνύων	354	1447b	20	
y	ποιοῖτο	104285949	1.12	244711	ποιοῖτο	355	1447b	20	
y	τὴν	104285950	1.12	244711	τὴν	356	1447b	20	
y	μίμησιν	104285951	1.12	244711	μίμησιν	357	1447b	20	
n	,	104285952	1.12	244711	KASNA				
y	καθάπερ	104285953	1.12	244711	καθάπερ	358	1447b	20	
y	Χαιρήμων	104285954	1.12	244711	Χαιρήμων	359	1447b	20	
y	ἐποίησε	104285955	1.12	244711	ἐποίησε	360	1447b	20	
y	Κένταυρον	104285956	1.12	244711	Κένταυρον	361	1447b	20	
y	μικτὴν	104285957	1.12	244711	μικτὴν	362	1447b	20	
y	ῥαψῳδίαν	104285958	1.12	244711	ῥαψῳδίαν	363	1447b	20	
y	ἐξ	104285959	1.12	244711	ἐξ	364	1447b	20	
y	ἁπάντων	104285960	1.12	244711	ἁπάντων	365	1447b	20	
y	τῶν	104285961	1.12	244711	τῶν	366	1447b	20	
y	μέτρων	104285962	1.12	244711	μέτρων	367	1447b	20	
y	,	104285963	1.12	244711	,	368	1447b	20	
n	οὐκ	104285964	1.12	244711	KASNA				
n	ἤδη	104285965	1.12	244711	KASNA				
y	καὶ	104285966	1.12	244711	καὶ	369	1447b	20	
y	ποιητὴν	104285967	1.12	244711	ποιητὴν	370	1447b	20	
y	προσαγορευτέον	104285968	1.12	244711	προσαγορευτέον	371	1447b	20	
y	.	104285969	1.12	244711	.	372	1447b	20	
y	περὶ	104285970	1.12	244712	περὶ	373	1447b	20	
y	μὲν	104285971	1.12	244712	μὲν	374	1447b	20	
y	οὖν	104285972	1.12	244712	οὖν	375	1447b	20	
y	τούτων	104285973	1.12	244712	τούτων	376	1447b	20	
y	διωρίσθω	104285974	1.12	244712	διωρίσθω	377	1447b	20	
y	τοῦτον	104285975	1.12	244712	τοῦτον	378	1447b	20	
y	τὸν	104285976	1.12	244712	τὸν	379	1447b	20	
y	τρόπον	104285977	1.12	244712	τρόπον	380	1447b	20	
y	.	104285978	1.12	244712	.	381	1447b	20	
y	εἰσὶ	104285979	1.13	244713	εἰσὶ	382	1447b	20	
y	δέ	104285980	1.13	244713	δέ	383	1447b	20	
y	τινες	104285981	1.13	244713	τινες	384	1447b	20	
n	οἳ	104285982	1.13	244713	αἳ	385	1447b	20	
n	πάσι	104285983	1.13	244713	πᾶσι	386	1447b	20	
y	χρῶνται	104285984	1.13	244713	χρῶνται	387	1447b	20	
y	τοῖς	104285985	1.13	244713	τοῖς	388	1447b	20	
y	εἰρημένοις	104285986	1.13	244713	εἰρημένοις	389	1447b	25	
y	,	104285987	1.13	244713	,	390	1447b	25	
y	λέγω	104285988	1.13	244713	λέγω	391	1447b	25	
y	δὲ	104285989	1.13	244713	δὲ	392	1447b	25	
