Unit	Greek (full — Bekker text)	Arabic (full — Tkatsch)	Gk:Ar	Align.	Rendering	Concern / note
1.10	πλὴν οἱ ἄνθρωποί γε συνάπτοντες τῷ μέτρῳ τὸ ποιεῖν ἐλεγειοποιοὺς τοὺς δὲ ἐποποιοὺς ὀνομάζουσιν, οὐχ ὡς τοὺς κατὰ μίμησιν ποιητὰς ἀλλὰ κοινῇ κατὰ τὸ μέτρον προσαγορεύοντες.	‏غير ان الناس عند ما يوصلون وزن صناعة الشعر [يعملون الاوزان و]يسمون بعضها فمن الغايا وبعضها فى الاخر [والتى لها اول واخر] وليس كالتى يعملون الشعر التى هى بالحكاية والتشبيه لكن التى يلقبونها المشتركة فى اوزانها	1:1	High	Severe	Heavily corrupt. The Greek contrast (named by meter, not by mimēsis) is only partly recoverable; Tkatsch resorts to bracketed supplements. One of the weakest alignments in the chapter — flag as low-confidence.
1.11	Καὶ γὰρ ἂν ἰατρικὸν ἢ μουσικόν τι διὰ τῶν μέτρων ἐκφέρωσιν, οὕτω καλεῖν εἰώθασιν.	‏وذلك ان عملوا شى من امور الطب او امور الطبيعة بالاوزان فهكذى قد جرت عادتهم بالتقليب	1:1	High	Moderate	μουσικόν ('musical') → umūr al-ṭabīʿa ('matters of nature/natural science') — a term-substitution error, probably via a corrupt Syriac/Greek exemplar. ṭibb is right; the pairing medicine/music becomes medicine/nature.
1.12	Οὐδὲν δὲ κοινόν ἐστιν Ὁμήρῳ καὶ Ἐμπεδοκλεῖ πλὴν τὸ μέτρον· διὸ τὸν μὲν ποιητὴν δίκαιον καλεῖν, τὸν δὲ φυσιολόγου μᾶλλον ἢ ποιητήν.	‏وذلك انه لا شى يشتركان فيه اوميروس وانفادقلس ما خلا الوزن ولذلك اما ذاك فينبغى ان نلقبه شاعرا واما هذا فالمتكلم فى الطبيعيات اكثر من الشاعر	1:1	High	Clean	Clean. Names transliterated transparently; φυσιολόγος rendered by a periphrasis ('speaker on natural science'). Secure alignment, useful as a control case.
1.13	Ὁμοίως δὲ κἂν εἴ τις ἅπαντα τὰ μέτρα μιγνύων ποιοῖτο τὴν μίμησιν, καθάπερ Χαιρήμων ἐποίησε Κένταυρον μικτὴν ῥαψῳδίαν ἐξ ἁπάντων τῶν μέτρων, οὐκ ἤδη καὶ ποιητὴν προσαγορευτέον.	‏وكذلك ان كان الانسان يعمل الحكاية والتشبيه عند ما يخلط جميع الاوزان كما كان يعمل خاريمن فانه كن يشبه قانطورس برقص الدستبند من جميع الاوزان فقد يجب ان نلقبه شاعرا	1:1	High	Severe	TWO breakdowns. (1) Polarity reversal: Greek οὐκ ... προσαγορευτέον ('he is NOT to be called a poet') → Arabic 'he MUST be called a poet' (yajib an nulaqqibahu shāʿiran) — the negation is lost, inverting Aristotle's point. (2) μικτὴν ῥαψῳδίαν ('mixed rhapsody') → raqṣ al-dastband, a Persian dance — a culturally substituted gloss. Highest-value concern in the chapter.
1.14	Περὶ μὲν οὖν τούτων διωρίσθω τοῦτον τὸν τρόπον.	‏فمن قبل هذه كان حدد هذا الضرب	1:1	High	Moderate	Divergent. The Greek formulaic close ('let these matters be defined thus') becomes a temporal/active statement ('before these he had defined this type'). Mood, voice and sense all shift; the transitional function is lost.
1.15	Εἰσὶ δέ τινες οἳ πᾶσι χρῶνται τοῖς εἰρημένοις, λέγω δὲ οἷον ῥυθμῷ καὶ μέλει καὶ μέτρῳ, ὥσπερ ἥ τε τῶν διθυραμβικῶν ποίησις καὶ ἡ τῶν νόμων καὶ ἥ τε τραγῳδία καὶ ἡ κωμῳδία· διαφέρουσι δέ, ὅτι αἱ μὲν ἅμα πᾶσιν αἱ δὲ κατὰ μέρος.	‏وقد يوجد قوم يستعملون جميع التى وصفت مثال ذلك فى اللحن والصوت الحلوا والاوزان كصناعة الشعر التى ٮٮورمٮى والتى للناصوس والمديح ايضا والهجا	1:1	High	Severe	DIVERGENCE + illegibility. διθυραμβικῶν is an undotted/illegible word in the witness (rasm only; Tkatsch cannot read it). νόμων → al-Nāṣūs (transliterated). τραγῳδία/κωμῳδία → madīḥ/hijāʾ AGAIN — the same genre substitution as 1447a13. Multiple concerns stacked.
1.16	Ταύτας μὲν οὖν λέγω τὰς διαφορὰς τῶν τεχνῶν, ἐν οἷς ποιοῦνται τὴν μίμησιν.	‏ويختلف بان بعضها مع الكل معا وبعضها بالجزو فهذه اقول انها اصناف الصنايع التى بها يعملون	1:1	High	Clean	διαφοράς ('differences') → aṣnāf ('kinds/classes') — a recurring slippage in the chapter. Object of the final verb left implicit in the witness. Otherwise the closing sentence aligns.
— CHAPTER 2  (Greek 5 · Arabic 5 units) —						
2.1	Ἐπεὶ δὲ μιμοῦνται οἱ μιμούμενοι πράττοντας, ἀνάγκη δὲ τούτους ἢ σπουδαίους ἢ φαύλους εἶναι (τὰ γὰρ ἤθη σχεδὸν ἀεὶ τούτοις ἀκολουθεῖ μόνοις· κακίᾳ γὰρ καὶ ἀρετῇ τὰ ἤθη διαφέρουσι πάντες), ἤτοι βελτίονας ἢ καθ᾿ ἡμᾶς ἢ χείρονας ἢ καὶ τοιούτους, ὥσπερ οἱ γραφεῖς· Πολύγνωτος μὲν γὰρ κρείττους, Παύσων δὲ χείρους, Διονύσιος δὲ ὁμοίους εἴκαζεν.	‏ولما كان الذين يحاكون ويشبهون قد ياتون بذلك بان يعملوا العمل الارادى فقد يجب ضرورة ان يكون هولا اما افاضل واما اراذل وذلك ان العادات والاخلاق مثلا هى تابعة لهذين فقط وذلك ان عادتهم واخلاقهم باجمعهم انما الخلاف بينها بالرذيلة والفضيلة وياتى بالحكاية والتشبيه اما الافاضل منا والاما [و]الاراذل واما من كانت حال فى ذلك كما يشبه المصورون فى صنايعهم اما الاخيار منهم للاخيار والاشرار للاشرار كما اما ان فاوسن حاكا الاشرار وشبه واما ديونوسيوس كان يشبه ويحاكى الشبيه	1:1	High	Moderate	Polygnotus dropped (only Pauson/Dionysius); ethos→ʿādāt/aḫlāq
2.2	Δῆλον δὲ ὅτι καὶ τῶν λεχθεισῶν ἑκάστη μιμήσεων ἕξει ταύτας τὰς διαφοράς, καὶ ἔσται ἑτέρα τῷ ἕτερα μιμεῖσθαι τοῦτον τὸν τρόπον.	‏فظاهر بين ان يكون كل تشبيه وحكاية من التى وصفت وكل واحد واحد من الافعال الاراديه لها هذه الاصناف والفصول وان تكون الواحدة تشبه بالاخرى وتحاكيها بهذا الضرب	1:1	High	Clean	
2.3	Καὶ γὰρ ἐν ὀρχήσει καὶ αὐλήσει καὶ κιθαρίσει ἔστι γενέσθαι ταύτας τὰς ἀνομοιότητας, καὶ περὶ τοὺς λόγους δὲ καὶ τὴν ψιλομετρίαν, οἷον Ὅμηρος μὲν βελτίους, Κλεοφῶν δὲ ὁμοίους, Ἡγήμων δὲ ὁ Θάσιος ὁ τὰς παρῳδίας ποιήσας πρῶτος καὶ Νικοχάρης ὁ τὴν Δηλιάδα χείρους.	‏وذلك انه فى الرقص والزمر وصناعة العيدان قد يوجد لهذه ان تكون غير متشابهة ونحو الكلام والوزن المرسل مثال ذلك اما اوميروس فالقاٮل واما قالاوفون فالاشيا الشبيهة واما ايجيمن المنسوب الى ثاسيا وهو الذى كان اولا يعمل المديح ونيقوخارس المنسوب الى الارى الذى كان يحاكى الارذل	1:1	High	Moderate	παρῳδίας ποιήσας→'yaʿmal al-madīḥ'; Cleophon/Hegemon/Nicochares translit
2.4	Ὁμοίως δὲ καὶ περὶ τοὺς διθυράμβους καὶ περὶ τοὺς νόμους, ὡς Πέρσας καὶ Κύκλωπας Τιμόθεος καὶ Φιλόξενος, μιμήσαιτο ἄν τις.	‏وكذلك ونحو هذه الى لثورامى ونوامس كما يشبه الانسان ويحاكى هكذى لقوقلوفاس طيموثاوس وفيلوكسانس	1:1	High	Moderate	Πέρσας not clearly rendered; dithyramb/nomes/Cyclopes/Timotheus/Philoxenus present
2.5	Ἐν αὐτῇ δὲ τῇ διαφορᾷ καὶ ἡ τραγῳδία πρὸς τὴν κωμῳδίαν διέστηκεν· ἡ μὲν γὰρ χείρους ἡ δὲ βελτίους μιμεῖσθαι βούλεται τῶν νῦν.	‏وبهذا الفصل بعينه الخلاف الذى للمديح عند الهجا وهو انه اما تلك فبالاراذل اما هذه فكانت تشبه بالاخيار واياهم كانت تحاكى	1:1	High	Severe	tragedy/comedy→madīḥ/hijāʾ substitution; better/worse assignment confused
— CHAPTER 3  (Greek 8 · Arabic 8 units) —						
3.1	Ἔτι δὲ τούτων τρίτη διαφορὰ τὸ ὡς ἕκαστα τούτων μιμήσαιτο ἄν τις.	‏وايضا الثالث لهذه الفصول ومنها هو ان تشبه بكل واحد واحد من هذه	1:1	High	Clean	
3.2	Καὶ γὰρ ἐν τοῖς αὐτοῖς καὶ τὰ αὐτὰ μιμεῖσθαι ἔστιν ὁτὲ μὲν ἀπαγγέλλοντα ἢ ἕτερόν τι γιγνόμενον, ὥσπερ Ὅμηρος ποιεῖ, ἢ ὡς τὸν αὐτὸν καὶ μὴ μεταβάλλοντα, ἢ πάντας ὡς πράττοντας καὶ ἐνεργοῦντας τοὺς μιμουμένους.	‏وذلك ان فى هذه ايضا التشبيهات والحكايات هى هى باعيانها اما احيانا فمن حيث يوعدون التشبه اما بشى اخر يكون كما كان يفعل اوميروس او ان كان مثله الذى لا خلاف فيه ايضا وجميع الذين يعملون ويفعلون الذين يشبهون ويحاكون	1:1	High	Clean	
3.3	Ἔν τρισὶ δὴ ταύταις διαφοραῖς ἡ μίμησίς ἐστιν, ὡς εἴπομεν κατ᾿ ἀρχάς, ἐν οἶς τε καὶ ἃ καὶ ὥς.	‏ياتون بتشبيههم وحكايتهم كما قلنا منذ الابتدا بهذه الفصول والاصناف الثلاثة	1:1	Medium	Clean	boundary fuzzy: Arabic runs recap into previous clause
3.4	Ὥστε τῇ μὲν ὁ αὐτὸς ἂν εἴη μιμητὴς Ὁμήρῳ Σοφοκλῆς, μιμοῦνται γὰρ ἄμφω σπουδαίους, τῇ δὲ Ἀριστοφάνει· πράττοντας γὰρ μιμοῦνται καὶ δρῶντας ἄμφω.	‏وبهذه فمن الضرورة حتى يكون اما ذاك فهو مشبه ومحاكى واحد بعينه اما باوميروس سوفقلس وذلك ان كليهما يشبهان ويحاكيان الافاضل واما هذا فيشبهونه ويحاكونه شيعة ارسطوفانس من قبل انهم كانهم ويعملون ويفعلون كاٮٮٮٮهما	1:1	High	Moderate	Homer/Sophocles/Aristophanes present; last word corrupt
3.5	Ὅθεν καὶ δράματα καλεῖσθαί τινες αὐτά φασιν, ὅτι μιμοῦνται δρῶντας.	‏ومن هاهنا قال قوم ان هذه تلقب ايضا دراماطا من قبل انهم يتشبهون بالذين يعملون	1:1	High	Clean	δράματα→drāmāṭā
3.6	Διὸ καὶ ἀντιποιοῦνται τῆς τε τραγῳδίας καὶ τῆς κωμῳδίας οἱ Δωριεῖς, τῆς μὲν κωμῳδίας οἱ Μεγαρεῖς, οἵ τε ἐνταῦθα ὡς ἐπὶ τῆς παρ᾿ αὐτοῖς δημοκρατίας γενομένης, καὶ οἱ ἐκ Σικελίας (ἐκεῖθεν γὰρ ἦν Ἐπίχαρμος ὁ ποιητής, πολλῷ πρότερος ὢν Χωνίδου καὶ Μάγνητος), καὶ τῆς τραγῳδίας ἔνιοι τῶν ἐν Πελοποννήσῳ, ποιούμενοι τὰ ὀνόματα σημεῖον.	‏ولذلك صار اهل ادرياس هم متمسكون بالمديح والهجا اما بالهجا بحسب ما ظن فهذه التى هاهنا كما انه ما كان قبلهم ولاية الجماعة والتدبير والتى كان الذين من سيقلييا يقولون انها موجود كما كان يفعل افيخارمس الشاعر وهو الذى كان اقدم كثيرا من كيونيدس وماغنس [من حيث كانا اعطيا الرسوم]	1:1	High	Moderate	tragedy/comedy→madīḥ/hijāʾ; Dorians/Sicily/Epicharmus/Chionides/Magnes translit
3.7	Οὗτοι μὲν γὰρ κώμας τὰς περιοικίδας καλεῖν φασίν, Ἀθηναῖοι δὲ δήμους, ὡς κωμῳδοὺς οὐκ ἀπὸ τοῦ κωμάζειν λεχθέντας, ἀλλὰ τῇ κατὰ κώμας πλάνῃ ἀτιμαζομένους ἐκ τοῦ ἄστεως· καὶ τὸ ποιεῖν αὐτοὶ μὲν δρᾶν, Ἀθηναίους δὲ πράττειν προσαγορεύειν.	‏عند ما كانا يستعملان الاقرار من اسما المديح التى فى فالوفونيهوس وذلك ان [انه] اما ذانك لقبا لقرى قومانس واما ديموسوس فلقب اهل اثينية المهجوين من قبل انهم كانوا ممتهنين مستخف بهم من اهل القرى	1:1	Medium	Severe	kōmas/dēmous; dran/prattein naming point largely lost; corrupt
3.8	Περὶ μὲν οὖν τῶν διαφορῶν, καὶ πόσαι καὶ τίνες τῆς μιμήσεως, εἰρήσθω ταῦτα.	‏اما اصناف التشبيه والحكاية وفصولها وكميتها وايما هى فهى هذه التى قيلت	1:1	High	Moderate	διαφορῶν→aṣnāf
— CHAPTER 4  (Greek 19 · Arabic 18 units) —						
4.1	Ἐοίκασι δὲ γεννῆσαι μὲν ὅλως τὴν ποιητικὴν αἰτίαι δύο τινές, καὶ αὗται φυσικαί.	‏ويشبه ان يكون العلل المولدة لصناعة الشعر التى هى بالطبع علتان	1:1	High	Clean	two natural causes
4.2	Τό τε γὰρ μιμεῖσθαι σύμφυτον τοῖς ἀνθρώποις ἐκ παίδων ἐστί, καὶ τούτῳ διαφέρουσι τῶν ἄλλων ζῴων ὅτι μιμητικώτατόν ἐστι καὶ τὰς μαθήσεις ποιεῖται διὰ μιμήσεως τὰς πρώτας, καὶ τὸ χαίρειν τοῖς μιμήμασι πάντας.	‏والتشبيه والمحاكاة مما ينشوا مع الناس منذ اول الامر وهم اطفال وهذا مما يخالف به الناس الحيوانات الاخر من قبل ان الانسان يشبه ويستعمل المحاكاة اكثر ويتتلمذ ويجعل التلمذات بالتشبيه والمحاكاة للاشيا المتقدمة والاوايل وذلك ان جميعهم يسر ويفرح بالتشبيه والمحاكاة	1:1	High	Clean	
4.3	Σημεῖον δὲ τούτου τὸ συμβαῖνον ἐπὶ τῶν ἔργων· ἃ γὰρ αὐτὰ λυπηρῶς ὁρῶμεν, τούτων τὰς εἰκόνας τὰς μάλιστα ἠκριβωμένας χαίρομεν θεωροῦντες, οἷον θηρίων τε μορφὰς τῶν ἀτιμοτάτων καὶ νεκρῶν.	‏والدليل على ذلك هذا وهو الذى يعرض فى الافعال ايضا وذلك ان التى نراها ويكون روساها على جهة الاغتمام فانا نسر بصورتها وتماثيلها اما اذا نحن رايناها كالتى هى اشد استقصا مثال ذلك صور وخلق الحيوانات المهينة المايتة	1:1	High	Clean	corpses/lowly animals example preserved
4.4	Αἴτιον δὲ καὶ τούτου, ὅτι μανθάνειν οὐ μόνον τοῖς φιλοσόφοις ἥδιστον ἀλλὰ καὶ τοῖς ἄλλοις ὁμοίως· ἀλλ᾿ ἐπὶ βραχὺ κοινωνοῦσιν αὐτοῦ.	‏والعلة فى ذلك هى هذه وهى ان [ان] باب التعليم ليس انما هو لذيذ الفيلسوف فقط لكن لهولا الاخر على مثال واحد الا انه من انهم يشاركٮه مشاركة يسيرة	1:1	High	Clean	learning pleasant to philosophers & others
4.5	Διὰ γὰρ τοῦτο χαίρουσι τὰς εἰκόνας ὁρῶντες, ὅτι συμβαίνει θεωροῦντας μανθάνειν καὶ συλλογίζεσθαι τί ἕκαστον, οἷον ὅτι οὗτος ἐκεῖνος, ἐπεὶ ἐὰν μὴ τύχῃ προεωρακώς, οὐ διὰ μίμημα ποιήσει τὴν ἡδονὴν ἀλλὰ διὰ τὴν ἀπεργασίαν ἢ τὴν χροιὰν ἢ διὰ τοιαύτην τινὰ ἄλλην αἰτίαν.	‏فلهذا السبب يسرون اذا ما هم راوا الصور والتماثيل من قبل انه يعرض انهم يرون فيتعلمون وهو قياس من ما لكل انسان انسان مثال ذلك ان هذا ذاك من قبل انه ان لم يتقدم فيرى ليس يعمل للذين سنه لكن من اجل الفعل والتفعل او للمواضع او من اجل علة ما مثل هذه	1:1	High	Moderate	χροιά→al-mawāḍiʿ(?) loose
4.6	Κατὰ φύσιν δὲ ὄντος ἡμῖν τοῦ μιμεῖσθαι καὶ τῆς ἁρμονίας καὶ τοῦ ῥυθμοῦ (τὰ γὰρ μέτρα ὅτι μόρια τῶν ῥυθμῶν ἐστί, φανερόν) ἐξ ἀρχῆς οἱ πεφυκότες πρὸς αὐτὰ μάλιστα κατὰ μικρὸν προάγοντες ἐγέννησαν τὴν ποίησιν ἐκ τῶν αὐτοσχεδιασμάτων.	‏واما بالطبع فلنا ان نتشبه بالتاليف واللحون وذلك انه اما ان الاوزان مشابهات للالحان فهو بين للذين هم مفطورون على ذلك منذ الابتدا وخاصة انهم ولدوا صناعة الشعر من حيث ياتون بذلك ويمتعون قليلا قليلا وولدوها من الذين اٮفوها دفعة ومن ساعته	1:1	High	Moderate	ἁρμονία/ῥυθμός→taʾlīf/luḥūn
4.7	Διεσπάσθη δὲ κατὰ τὰ οἰκεῖα ἤθη ἡ ποιήσις· οἱ μὲν γὰρ σεμνότεροι τὰς καλὰς ἐμιμοῦντο πράξεις καὶ τὰς τῶν τοιούτων, οἱ δὲ εὐτελέστεροι τὰς τῶν φαύλων, πρῶτον ψόγους ποιοῦντες, ὥσπερ ἕτεροι ὕμνους καὶ ἐγκώμια.	‏وانجذبت بحسب عادتها الخاصية اعنى صناعة الشعر وذلك ان بعض الشعرا ومن كان منهم اكثر عفافا يتشبهون بالاعمال الحسنة الجميلة وفى ما اشبه ذلك وبعضهم ممن قد كان منهم ارذل عند ما كانوا يهجون اولا الاشرار كانوا يعملون بعد ذلك المديح والثنا لقوم اخرين اشرار	1:1	High	Moderate	ψόγους→yahjūn; ὕμνους/ἐγκώμια→madīḥ/thanāʾ
4.8	Τῶν μὲν οὖν πρὸ Ὁμήρου οὐδενὸς ἔχομεν εἰπεῖν τοιοῦτον ποίημα, εἰκὸς δὲ εἶναι πολλούς· ἀπὸ δὲ Ὁμήρου ἀρξαμένοις ἔστιν, οἷον ἐκείνου ὁ Μαργίτης καὶ τὰ τοιαῦτα, ἐν οἷς καὶ τὸ ἁρμόττον ἰαμβεῖον ἦλθε μέτρον.	‏غير انه ليس لنا ان نقول فى انسان قبل اوميروس انه عمل مثل هذه الصناعة من صناعة الشعرا والا قد كان شعرا اخر كثيرين غير ان من اوميروس هو المبدا مثل ذلك ل ال ل// سيق ووالسيق والحارٮه ما* وهذه التى هى هكذى التى اتى بها الوزن كما اتى بيامبو	1:1	Medium	Severe	Μαργίτης badly garbled
4.9	Διὸ καὶ ἰαμβεῖον καλεῖται νῦν, ὅτι ἐν τῷ μέτρῳ τούτῳ ἰάμβιζον ἀλλήλους.	‏ولذلك ما لقب مثل هذا الوزن ايامبوس وبهذا الوزن كانوا يتهاونون بعضهم ببعض [وصار القدما]	1:1	High	Clean	ἰάμβιζον→'lampooned one another'
4.10	Καὶ ἐγένοντο τῶν παλαιῶν οἱ μὲν ἡρωϊκῶν οἱ δὲ ἰάμβων ποιηταί.	‏وصار من القدما بعضهم شعرا فى الفن ايامبو والفن المسمى ٮاوريٯا	1:1	Medium	Moderate	ἡρωϊκῶν→ṯāwrīqā(?) garbled
4.11	Ὥσπερ δὲ καὶ τὰ σπουδαῖα μάλιστα ποιητὴς Ὅμηρος ἦν (μόνος γὰρ οὐχ ὅτι εὖ, ἀλλ᾿ ὅτι καὶ μιμήσεις δραματικὰς ἐποίησεν), οὕτω καὶ τὰ τῆς κωμῳδίας σχήματα πρῶτος ὑπέδειξεν, οὐ ψόγον ἀλλὰ τὸ γελοῖον δραματοποιήσας· ὁ γὰρ Μαργίτης ἀνάλογον ἔχει, ὥσπερ Ἰλιὰς καὶ Ὀδύσσεια πρὸς τὰς τραγῳδίας, οὕτω καὶ οὗτος πρὸς τὰς κωμῳδίας.	‏كما ان الشاعر فى الاشيا الحريصة المجتهدة خاصة انما كان اوميروس وحده فقط وذلك انه هو وحده فقط ليس انما عمل اشيا احسن فيها لكن قد عمل التشبيهات والحكايات المعروفة بدماطيقياتا وهكذى هو اول من اظهر شكل صناعة هجا ليس فيه الهجا فقط لكن فى باب الاستهزا والمطانزة فانه عمل فيها النشيد المسما باليونانية دراماطا وذلك ان هارلٮلوٮا حالها حال يجرى مجرى التسقيم فكما ان ايليادا عند الركب والمسماة اودوسيا غير المديحات كذلك هذا عند ابواب الهجا	1:1	Medium	Severe	Iliad/Odyssey present; Margites garbled again; comedy→hijāʾ
